Infection,Инфекция,Лечение1,Лечение2,Лечение3,Препарат1,Препарат2,Препарат3,Анализ1,Анализ2,Анализ3,Врач
Fungal infection,Грибковые инфекции,"Самостоятельно, без консультации со специалистом (лор-врачом или врачом-микологом) грибковое воспаление лечить нельзя.
Лекарственной терапии обязательно должно предшествовать лабораторное исследование мазка из горла, уха, а при подозрении на микоз пазух носа (который чаще всего лечится хирургическим путем) на помощь врачам приходят рентген и компьютерная томография.","Лечение грибковых инфекций состоит в применении противогрибковых препаратов. В зависимости от тяжести, вида инфекции могут назначаться препараты в форме инъекций, таблеток, мазей, кремов, растворов для местного применения. Продолжительность курса терапии определяется лечащим врачом.",,"Экзодерил (раствор, крем) (Сандоз)","Пимафуцин (таблетки, мазь) (Астеллас)","Клотримазол (крем, мазь) (разные произв.)",Анализ крови,,,Терапевт
Allergy,Аллергия,"Прежде всего, необходимо избежать воздействия аллергена. Например, профилактика сезонной аллергии на пыльцу заключается в том, чтобы в период цветения растений по мере возможности как можно больше находиться дома, с закрытыми окнами, дверями и установленными на кондиционер фильтрами высокой очистки. Ликвидация воздействия аллергенов на организм во многих случаях позволяет избавиться от аллергии.","Чтобы вылечить хроническую аллергию, следует провести ряд диагностических процедур. После осмотра врач может рекомендовать пройти либо кожный тест на аллергию (когда доктор делает небольшой укол или царапает кожу специальным медицинским инструментом, а потом наносит на нее вещество, содержащее потенциальный аллерген), либо сделать анализ крови (при нем определяется количество содержащихся в крови специфических аллергенов). Только после установления диагноза можно задумываться о том, как вылечить аллергию.","Как известно, витамин С обладает рядом противовоспалительных свойств. Его применение также является одним из способов лечения аллергии народными средствами. В сезон аллергии рекомендуется принимать по 1000 мг несколько (четыре-пять) раз в день в течение недели. Некоторым аллергикам лучше принимать минеральную аскорбиновую кислоту, чем просто аскорбиновую кислоту, поскольку первая легче усваивается организмом.",фексофенадин,лоратадин,цетиризин,Анализ крови,Анализ мочи,,Аллерголог
GERD,Гастроэзофагеальная рефлюксная болезнь,"Для медикаментозного лечения ГЭРБ назначают антациды (снижают кислотность желудочного содержимого); препараты, подавляющие секреторную функцию желудка (блокаторы Н2-гистаминовых рецепторов и ингибиторы протонной помпы); прокинетики, нормализующие моторную функцию желудочно-кишечного тракта.","Лечение ГЭРБ включает изменение образа жизни, медикаментозную терапию, в наиболее сложных случаях — хирургическое вмешательство. Медикаментозная терапия ГЭРБ и изменение образа жизни больных ГЭРБ преследуют своей целью лечение воспаления слизистой пищевода, уменьшение количества гастроэзофагеальных рефлюксов, снижение повреждающих свойств рефлюксата, улучшение очищения пищевода от попавшего в него агрессивного содержимого желудка и защиты слизистой оболочки пищевода.",,низатидин,циметидин,ланзопразол,Анализ крови,Анализ мочи,,Терапевт
Chronic cholestasis,Хронический холестаз,"Лечение холестатического синдрома заключается в устранении его причины, то есть лечения основного заболевания (лечение опухолей, удаление камней, дегельминтизация и др.)",,,плазмафереза,холестирамина,урсосан,Анализ крови,Анализ мочи,,Терапевт
Drug Reaction,Наркотическая реакция,Необходимо обратиться к врачу или в центр помощи наркозависимым.,,,,,,Анализ крови,Анализ мочи,Анализ крови из вены,Нарколог
Peptic ulcer diseae,Язвенная болезнь,"Лекарственная терапия при язве желудка включает в себя прием антибактериальных препаратов, активных в отношении возбудителя болезни — бактерии Helicobacter pylori. Лечение проходит в два этапа: Этап первый — ингибиторы протонной помпы (ИПП, препараты для регулирования кислотности желудочного сока и подавления выработки соляной кислоты) в сочетании с антибактериальными средствами на основе действующего вещества кларитромицин и со средствами широкого спектра действия из группы полусинтетических пенициллино. Этап второй — необходим в том случае, если результаты первого этапа неудовлетворительны. На втором этапе лечения применяются те же ингибиторы протонной помпы в сочетании с антибактериальными средствами — препаратами из группы нитроимидазолов и тетрациклином, но теперь к ним добавляются и гастропротекторы, например, соединения висмута.","стол 1А назначается при резком обострении язвенной болезни. Диета включает в себя слизистые супы из круп, паровое куриное, рыбное или творожное суфле, молоко, яйца всмятку, жидкие молочные каши, кисели, рыбу на пару. Хлеб, кофе, овощи и фрукты, а также сладости исключаются.","Лечебная физкультура при язве желудка показана в период отсутствия острых проявлений болезни. Физическая активность включает в себя дыхательную гимнастику и простые упражнения, направленные на снятие болевых ощущений и улучшение кровообращения. При постельном режиме показаны 10–12-минутные сеансы ЛФК и упражнения в положении лежа и сидя, при свободном режиме продолжительность занятий увеличивается до 25–30 минут.",Де-Нол,Новобисмол,Пантодерм,УЗИ,,,Терапевт
AIDS,СПИД,Срочно обратиться к врачу. Лечение или подавление симптомов невозможно без применения лекарственных препаратов.,,,"Доза и комбинация препаратов для каждого пациента подбираются индивидуально, с учетом ряда факторов.",,,Анализ крови,Анализ мочи,Анализ крови из вены,Терапевт
Diabetes,Сахарный диабет,"Диета при сахарном диабете прежде всего предполагает жесткое ограничение в употреблении алкоголя. Необходимо также использовать сахарозаменители. Интернет полон списков диет при сахарном диабете, однако не следует назначать их себе самостоятельно. Необходимо обратиться к врачу, который назначит лечебное питание и подробно объяснит его принципы.","Сахароснижающие средства. Эти средства называются противодиабетическими. Подобные препараты выписываются для поддержания уровня сахара в крови людям, в организме которых инсулин вырабатывается самостоятельно, но в недостаточных количествах. Обычно такие медикаменты используются в комплексе с диетическим питанием и физической активностью. Перед началом лечения требуется консультация таких специалистов, как диетолог и эндокринолог.","Инсулиновая терапия. Инсулин обычно назначается вместе с сахароснижающими средствами. Показателями для применения этого метода лечения являются снижение веса, кетоз, предоперационное лечение, а также любые осложнения у пациентов с диабетом 2-го типа. Есть и ограничивающие факторы инсулинотерапии. К ним относятся беременность и кормление грудью, болезни геморрагического характера, прекома, кома.",Сиофор,Глюкофаж,Метформин,Анализ крови,Анализ мочи,,Терапевт
Gastroenteritis,Гастроэнтерит,"В случае легкого течения болезни, человеку необходимо соблюдать диетическое питание, обеспечить обильное питье в виде солевых растворов, пить часто и небольшими порциями.",,,Панзинорм,Фестал,Энтеросгель,Анализ крови,Анализ мочи,,Терапевт
Bronchial Asthma,Бронхиальная астма,"Лечение назначают в соответствии с тяжестью и длительностью заболевания. Течение бронхиальной астмы предсказать невозможно, и ее лечение требует от врача индивидуального подхода к каждому больному.","Средства для снятия симптомов бронхиальной астмы у взрослых:Применяют бронходилятаторы короткого действия. Препараты этой группы вызывают быстрое, хотя и на относительно короткое время, расширение дыхательных путей, что помогает быстро снять приступ.Многие противоастматические препараты строго рецептурные, потому если у вас в семье астматик, всегда надо иметь нужный рецепт с действующим сроком выписки, на всякий случай брать его с собой в отпуск.",,Флюдитек,Серетид,Зиртек,Анализ макроты,,,Терапевт
Hypertension,Гипертония,Лечением гипертоний любой этиологии в стадии криза занимаются исключительно специалисты. Народные средства от гипертонии недопустимы для терапии жизнеугрожающих состояний.,Убрать из рациона продукты с высоким содержанием жиров и холестерина;,,Лозап,Каптоприл,Амлодипин,Анализ крови,Анализ мочи,,Терапевт
Migraine,Мигрень,"Лекарственные средства, которые используют для снятия имеющегося приступа мигрени, называют средствами для купирования мигрени. Правильно подобранные лекарства могут быть весьма эффективными, если принимаются правильно и в небольших количествах. К таким средствам относятся безрецептурные анальгетики, большинство из которых содержит аспирин, ибупрофен или парацетамол; среди них парацетамол наименее эффективен. Растворимые формы этих препаратов, например, в виде шипучих таблеток действуют быстрее и лучше.","Если Вас очень беспокоит тошнота или рвота, можно использовать противорвотные средства. Некоторые из них фактически усиливают действие анальгетиков, так как увеличивают их всасывание в желудочно-кишечном тракте. Если Вы испытываете сильную тошноту или рвоту, то можно использовать эти препараты в форме ректальных свечей.",,Имигран,Амигренин,,,,,Терапевт
Cervical spondylosis,Шейный спондилез,Снижение болей обезболивающими средствами. Обратиться к врачу.,,,Ибупрон,Кетанов,Ибупрофен,,,,Хирург
Paralysis (brain hemorrhage),Паралич (кровоизлияние в мозг),"Проводится лечение основного заболевания, которое вызвало развитие паралича. В случае необходимости выполняется удаление опухолевого образования, а также удаление кровоизлияния. В целях нормализации артериального давления, назначаются лекарственные препараты для улучшения мозгового кровоснабжения - ангиопротекторы, ноотропы. При инфекционной природе поражения назначается антибиотикотерапия, при ботулизме, проводится введение противоботулинической сыворотки. При миастении используются препараты для улучшения нервно-мышечного проведения. В случае тяжелых отравлений назначается инфузионная терапия, прием витаминов группы В, С, А. Возможно развитие таких осложнений как: контрактуры, анкилозы суставов, слабость мышц.",,,этамзилат,пармидин,трибенозид,Анализ крови,Анализ мочи,Анализ крови из вены,Терапевт
Jaundice,Желтуха,Лечение зависит от причины возникновения заболевания. Необходима обследование.,,,,,,Анализ крови,,,Терапевт
Malaria,Малярия,Необходимо пройти обследование для определения степени заболевания.,,,,,,Анализ крови,,,Терапевт
Chicken pox,Ветряная оспа,"Лечение ветряной оспы, в основном, сводится к предотвращению бактериальных осложнений. Во избежание распространения вируса необходимо тщательно соблюдать правила гигиены, включающие ежедневный душ и подстригание ногтей у маленьких детей (для предотвращения расчесывания и разрушения пузырьков сыпи).
Применение антивирусных средств во время лечения, таких как ацикловир, является оправданным только для недоношенных детей, пациентов с нарушениями иммунной системы и взрослых",,,ацикловир,,,Анализ крови,Анализ мочи,,Терапевт
Dengue,Денге,"Специального лечения лихорадки денге нет.
В случаях тяжелой денге медицинская помощь врачей и медицинских сестер, имеющих опыт в области проявлений и развития болезни, может способствовать спасению жизни и снижению показателей смертности более чем с 20% до менее 1%. При лечении тяжелой денге критическое значение имеет поддержание объема жидкостей организма пациента на надлежащем уровне.",,,,,,Анализ крови,Анализ мочи,Анализ крови из вены,Терапевт
Typhoid,Тиф,"Всем больным следует соблюдать постельный режим, придерживаться щадящей диеты.",,,Левомицетин,Ампицилин,Бисептол,Анализ крови,Анализ мочи,,Терапевт
hepatitis A,Гепатит А,"Специфического лечения гепатита А нет. Выздоровление от симптомов, вызванных инфекцией, может происходить медленно и занимать несколько недель или месяцев. Терапия направлена на поддержание комфорта и надлежащего сочетания питательных веществ, включая возмещение теряемой в результате рвоты и диареи жидкости.",,,,,,Анализ крови,Анализ мочи,Анализ крови из вены,Терапевт
