itching ,Испытываете ли вы зуд?
skin_rash ,Наблюдается ли у вас сыпь?
nodal_skin_eruptions ,Есть ли у вас высыпания?
continuous_sneezing ,Наблюдается ли у вас непрерывные чихания?
shivering ,Испытываете ли вы дрожь?
chills ,Испытываете ли вы озноб?
joint_pain ,Испытываете ли вы боль в суставах?
stomach_pain ,Испытываете ли вы боль в животе?
acidity ,Есть ли у вас изжога?
ulcers_on_tongue ,Есть ли у вас язвы на языке?
muscle_wasting ,Наблюдается ли у вас атрофия мышц?
vomiting ,Испытываете ли вы порывы рвоты?
burning_micturition ,Испытываете ли вы проблемы с мочеиспусканием?
spotting__urination ,Есть ли у вас кровянистые выделения при мочеиспускании?
fatigue ,Испытываете ли вы усталость?
weight_gain ,Есть ли у вас проблемы с лишним весом?
anxiety ,Испытываете ли вы тревогу?
cold_hands_and_feets ,Холодные ли у вас руки и ноги?
mood_swings ,Бывают ли у вас перепады настроения?
weight_loss ,Теряете ли вы вес?
restlessness ,Испытываете ли вы беспокойство?
lethargy ,Испытываете ли вы вялость?
patches_in_throat ,Есть ли у вас пятна на горле?
irregular_sugar_level ,Наблюдается ли у вас нестабильный уровень сахара?
cough ,Есть ли у вас кашель?
high_fever ,Есть ли у вас высокая температура?
sunken_eyes ,Есть ли у вас вас впадины в области нижнего века?
breathlessness ,Есть ли у вас одышка?
sweating ,Наблюдается ли у вас повышенное потоотделение?
dehydration ,Чувствуете ли вы себя обезвоженным?
indigestion ,Испытываете ли вы расстроство желудка?
headache ,Испытываете ли вы головную боль?
yellowish_skin ,Проявляются ли у вас пожелтение кожи?
dark_urine ,У вас темная моча?
nausea ,Испытываете ли вы чувство тошноты?
loss_of_appetite ,Испытываете ли вы потерю аппетита?
pain_behind_the_eyes ,Испытываете ли вы головную боль за глазами?
back_pain ,Испытываете ли вы боль в спине?
constipation ,Есть ли у вас запор?
abdominal_pain ,Испытываете ли вы боль в животе?
diarrhoea ,Есть ли у вас понос?
mild_fever ,Испытываете ли вы слабую лихорадку?
yellow_urine ,У вас желтая моча?
yellowing_of_eyes ,Есть ли у вас пожелтение глаз?
acute_liver_failure ,Испытываете ли вы боли в области печени?
fluid_overload ,Вы много пили жидкости?
swelling_of_stomach ,Чувствуете ли вы отек желудка?
swelled_lymph_nodes ,У вас опухшие лимфатические узлы?
malaise ,Испытываете ли вы недомогание?
blurred_and_distorted_vision ,У вас затуманенное зрение?
phlegm ,Есть ли у вас мокрота?
throat_irritation ,Испытываете ли вы раздражение горла?
redness_of_eyes ,Есть ли у вас покраснение глаз?
sinus_pressure ,Испытываете ли вы давление в пазухах?
runny_nose ,У вас есть насморк?
congestion ,Есть ли у вас запор?
chest_pain ,Испытываете ли вы боль в груди?
weakness_in_limbs ,Испытываете ли вы слабость?
fast_heart_rate ,У вас высокий пульс?
pain_during_bowel_movements ,Испытываете ли вы боль при ярком свете?
pain_in_anal_region ,Испытываете ли вы боль в анальной области?
bloody_stool ,У вас кровавый стул?
irritation_in_anus ,Испытываете ли вы раздражение в области ануса?
neck_pain ,Испытываете ли вы боль в шее?
dizziness ,Испытываете ли вы головокружение?
cramps ,Испытываете ли вы судороги?
bruising ,Есть ли у вас кровоподтёки?
obesity ,Испытываете ли вы проблемы с лишним весом?
swollen_legs ,У вас опухшие ноги?
swollen_blood_vessels ,У вас опухшие кровеносные сосуды?
puffy_face_and_eyes ,У вас опухшее лицо и глаза?
enlarged_thyroid ,Испытываете ли вы стресс тревогу и раздражение?
brittle_nails ,У вас ломкие ногти?
swollen_extremeties ,У вас опухшие конечности?
excessive_hunger ,Испытываете ли вы чрезмерный голод?
extra_marital_contacts ,У вас бывают случайные половые контакты?
drying_and_tingling_lips ,У вас сухие губы?
slurred_speech ,Испытываете ли вы трудности с речью?
knee_pain ,Испытываете ли вы боль в колене?
hip_joint_pain ,Есть ли у вас боль в тазобедренном суставе?
muscle_weakness ,Испытываете ли вы мышечную слабость?
stiff_neck ,Испытываете ли вы онемение затылочных мышц?
swelling_joints ,Испытываете ли вы отек суставов?
movement_stiffness ,Испытываете ли вы жесткость движения?
spinning_movements ,Вы выполняли вращающие движения?
loss_of_balance ,Испытываете ли вы потерю баланса?
